d9f24cd1 full: 0 surviving, competitive false, recoverable false
d23f8c26 two-pair: 0 surviving, competitive false, recoverable false
a65b410d two-pair: 0 surviving, competitive false, recoverable false
e8593010 full: 0 surviving, competitive false, recoverable false
4c4377d9 full: 1 surviving, competitive false, recoverable false
4c4377d9 two-pair: 1 surviving, competitive false, recoverable false
77fdfe62 full: 0 surviving, competitive false, recoverable false
e8593010 two-pair: 0 surviving, competitive false, recoverable false
662c240a full: 0 surviving, competitive false, recoverable false
c8cbb738 two-pair: 0 surviving, competitive false, recoverable false
31aa019c two-pair: 0 surviving, competitive false, recoverable false
662c240a two-pair: 0 surviving, competitive false, recoverable false
045e512c two-pair: 0 surviving, competitive false, recoverable false
3f7978a0 full: 0 surviving, competitive false, recoverable false
77fdfe62 two-pair: 0 surviving, competitive false, recoverable false
3f7978a0 two-pair: 0 surviving, competitive false, recoverable false
5c2c9af4 full: 0 surviving, competitive false, recoverable false
150deff5 full: 0 surviving, competitive false, recoverable false
d687bc17 full: 0 surviving, competitive false, recoverable false
d364b489 full: 0 surviving, competitive false, recoverable false
95990924 full: 0 surviving, competitive false, recoverable false
150deff5 two-pair: 0 surviving, competitive false, recoverable false
7df24a62 full: 0 surviving, competitive false, recoverable false
95990924 two-pair: 0 surviving, competitive false, recoverable false
5c2c9af4 two-pair: 0 surviving, competitive false, recoverable false
7df24a62 two-pair: 0 surviving, competitive false, recoverable false
7fe24cdd full: 0 surviving, competitive false, recoverable false
7fe24cdd two-pair: 0 surviving, competitive false, recoverable false
855e0971 full: 0 surviving, competitive false, recoverable false
d687bc17 two-pair: 0 surviving, competitive false, recoverable false
2204b7a8 full: 0 surviving, competitive false, recoverable false
d364b489 two-pair: 0 surviving, competitive false, recoverable false
d631b094 full: 1 surviving, competitive false, recoverable false
d43fd935 full: 0 surviving, competitive false, recoverable false
d631b094 two-pair: 1 surviving, competitive false, recoverable false
ce22a75a full: 1 surviving, competitive false, recoverable false
ff805c23 full: 0 surviving, competitive false, recoverable false
1f642eb9 full: 0 surviving, competitive false, recoverable false
ce22a75a two-pair: 1 surviving, competitive false, recoverable false
d43fd935 two-pair: 0 surviving, competitive false, recoverable false
3aa6fb7a full: 0 surviving, competitive false, recoverable false
855e0971 two-pair: 0 surviving, competitive false, recoverable false
3aa6fb7a two-pair: 0 surviving, competitive false, recoverable false
2204b7a8 two-pair: 0 surviving, competitive false, recoverable false
0e206a2e full: 0 surviving, competitive false, recoverable false
39a8645d full: 0 surviving, competitive false, recoverable false
3c9b0459 full: 1 surviving, competitive false, recoverable false
a3325580 full: 0 surviving, competitive false, recoverable false
1f642eb9 two-pair: 0 surviving, competitive false, recoverable false
5daaa586 full: 0 surviving, competitive false, recoverable false
1a07d186 full: 0 surviving, competitive false, recoverable false
3c9b0459 two-pair: 1 surviving, competitive false, recoverable false
a416b8f3 full: 1 surviving, competitive false, recoverable false
a416b8f3 two-pair: 1 surviving, competitive false, recoverable false
94f9d214 full: 1 surviving, competitive false, recoverable false
f8ff0b80 full: 0 surviving, competitive false, recoverable false
94f9d214 two-pair: 1 surviving, competitive false, recoverable false
ff805c23 two-pair: 0 surviving, competitive false, recoverable false
f5b8619d full: 0 surviving, competitive false, recoverable false
39a8645d two-pair: 0 surviving, competitive false, recoverable false
41e4d17e full: 0 surviving, competitive false, recoverable false
f5b8619d two-pair: 0 surviving, competitive false, recoverable false
496994bd full: 1 surviving, competitive false, recoverable false
6cf79266 full: 0 surviving, competitive false, recoverable false
1a07d186 two-pair: 0 surviving, competitive false, recoverable false
5ad4f10b full: 0 surviving, competitive false, recoverable false
41e4d17e two-pair: 0 surviving, competitive false, recoverable false
496994bd two-pair: 1 surviving, competitive false, recoverable false
0e206a2e two-pair: 0 surviving, competitive false, recoverable false
3af2c5a8 full: 1 surviving, competitive false, recoverable false
3af2c5a8 two-pair: 1 surviving, competitive false, recoverable false
a3325580 two-pair: 0 surviving, competitive false, recoverable false
f8ff0b80 two-pair: 0 surviving, competitive false, recoverable false
5daaa586 two-pair: 0 surviving, competitive false, recoverable false
46442a0e full: 0 surviving, competitive false, recoverable false
6cf79266 two-pair: 0 surviving, competitive false, recoverable false
46442a0e two-pair: 1 surviving, competitive false, recoverable false
c0f76784 full: 0 surviving, competitive false, recoverable false
c0f76784 two-pair: 0 surviving, competitive false, recoverable false
a68b268e full: 0 surviving, competitive false, recoverable false
6d75e8bb full: 0 surviving, competitive false, recoverable false
08ed6ac7 full: 0 surviving, competitive false, recoverable false
928ad970 full: 0 surviving, competitive false, recoverable false
6d75e8bb two-pair: 0 surviving, competitive false, recoverable false
97a05b5b full: 0 surviving, competitive false, recoverable false
5ad4f10b two-pair: 0 surviving, competitive false, recoverable false
08ed6ac7 two-pair: 0 surviving, competitive false, recoverable false
7b7f7511 full: 0 surviving, competitive false, recoverable false
8d5021e8 full: 0 surviving, competitive false, recoverable false
98cf29f8 full: 0 surviving, competitive false, recoverable false
72ca375d full: 0 surviving, competitive false, recoverable false
8d5021e8 two-pair: 0 surviving, competitive false, recoverable false
a68b268e two-pair: 0 surviving, competitive false, recoverable false
b190f7f5 full: 0 surviving, competitive false, recoverable false
928ad970 two-pair: 0 surviving, competitive false, recoverable false
60b61512 full: 0 surviving, competitive false, recoverable false
b190f7f5 two-pair: 0 surviving, competitive false, recoverable false
7b7f7511 two-pair: 1 surviving, competitive false, recoverable false
60b61512 two-pair: 0 surviving, competitive false, recoverable false
b60334d2 full: 0 surviving, competitive false, recoverable false
4347f46a full: 0 surviving, competitive false, recoverable false
b60334d2 two-pair: 0 surviving, competitive false, recoverable false
98cf29f8 two-pair: 0 surviving, competitive false, recoverable false
39e1d7f9 full: 0 surviving, competitive false, recoverable false
44d8ac46 full: 0 surviving, competitive false, recoverable false
253bf280 full: 0 surviving, competitive false, recoverable false
36fdfd69 full: 0 surviving, competitive false, recoverable false
253bf280 two-pair: 0 surviving, competitive false, recoverable false
44d8ac46 two-pair: 0 surviving, competitive false, recoverable false
25ff71a9 full: 1 surviving, competitive false, recoverable false
25ff71a9 two-pair: 1 surviving, competitive false, recoverable false
a64e4611 full: 0 surviving, competitive false, recoverable false
97a05b5b two-pair: 0 surviving, competitive false, recoverable false
72ca375d two-pair: 0 surviving, competitive false, recoverable false
e40b9e2f full: 0 surviving, competitive false, recoverable false
d5d6de2d full: 1 surviving, competitive false, recoverable false
54d82841 full: 0 surviving, competitive false, recoverable false
d5d6de2d two-pair: 1 surviving, competitive false, recoverable false
54d82841 two-pair: 0 surviving, competitive false, recoverable false
36fdfd69 two-pair: 0 surviving, competitive false, recoverable false
29623171 full: 0 surviving, competitive false, recoverable false
eb281b96 full: 0 surviving, competitive false, recoverable false
eb281b96 two-pair: 0 surviving, competitive false, recoverable false
e8dc4411 full: 0 surviving, competitive false, recoverable false
4347f46a two-pair: 0 surviving, competitive false, recoverable false
a3df8b1e full: 0 surviving, competitive false, recoverable false
a3df8b1e two-pair: 0 surviving, competitive false, recoverable false
29623171 two-pair: 0 surviving, competitive false, recoverable false
cce03e0d full: 0 surviving, competitive false, recoverable false
cce03e0d two-pair: 0 surviving, competitive false, recoverable false
39e1d7f9 two-pair: 0 surviving, competitive false, recoverable false
6e82a1ae full: 0 surviving, competitive false, recoverable false
99b1bc43 full: 1 surviving, competitive false, recoverable false
e40b9e2f two-pair: 0 surviving, competitive false, recoverable false
beb8660c full: 0 surviving, competitive false, recoverable false
99b1bc43 two-pair: 1 surviving, competitive false, recoverable false
e8dc4411 two-pair: 0 surviving, competitive false, recoverable false
ba26e723 full: 0 surviving, competitive false, recoverable false
8e1813be full: 0 surviving, competitive false, recoverable false
d6ad076f full: 0 surviving, competitive false, recoverable false
ba26e723 two-pair: 0 surviving, competitive false, recoverable false
88a10436 full: 0 surviving, competitive false, recoverable false
6e82a1ae two-pair: 0 surviving, competitive false, recoverable false
fcb5c309 full: 0 surviving, competitive false, recoverable false
941d9a10 full: 0 surviving, competitive false, recoverable false
88a10436 two-pair: 0 surviving, competitive false, recoverable false
beb8660c two-pair: 0 surviving, competitive false, recoverable false
a64e4611 two-pair: 0 surviving, competitive false, recoverable false
941d9a10 two-pair: 0 surviving, competitive false, recoverable false
a87f7484 full: 1 surviving, competitive false, recoverable false
a1570a43 full: 0 surviving, competitive false, recoverable false
b230c067 full: 0 surviving, competitive false, recoverable false
a1570a43 two-pair: 0 surviving, competitive false, recoverable false
e73095fd full: 0 surviving, competitive false, recoverable false
b230c067 two-pair: 0 surviving, competitive false, recoverable false
e73095fd two-pair: 0 surviving, competitive false, recoverable false
a87f7484 two-pair: 1 surviving, competitive false, recoverable false
cbded52d full: 0 surviving, competitive false, recoverable false
7447852a full: 0 surviving, competitive false, recoverable false
7447852a two-pair: 0 surviving, competitive false, recoverable false
fcb5c309 two-pair: 0 surviving, competitive false, recoverable false
d6ad076f two-pair: 0 surviving, competitive false, recoverable false
1cf80156 full: 9 surviving, competitive false, recoverable false
4c5c2cf0 full: 0 surviving, competitive false, recoverable false
cbded52d two-pair: 0 surviving, competitive false, recoverable false
91413438 full: 0 surviving, competitive false, recoverable false
91413438 two-pair: 0 surviving, competitive false, recoverable false
2013d3e2 full: 0 surviving, competitive false, recoverable false
8e1813be two-pair: 0 surviving, competitive false, recoverable false
780d0b14 full: 0 surviving, competitive false, recoverable false
1cf80156 two-pair: 9 surviving, competitive false, recoverable false
3428a4f5 full: 1 surviving, competitive false, recoverable false
57aa92db full: 0 surviving, competitive false, recoverable false
4c5c2cf0 two-pair: 0 surviving, competitive false, recoverable false
2c608aff full: 0 surviving, competitive false, recoverable false
1e32b0e9 full: 0 surviving, competitive false, recoverable false
3428a4f5 two-pair: 1 surviving, competitive false, recoverable false
aba27056 full: 0 surviving, competitive false, recoverable false
2c608aff two-pair: 0 surviving, competitive false, recoverable false
42a50994 full: 4 surviving, competitive false, recoverable false
aba27056 two-pair: 0 surviving, competitive false, recoverable false
d406998b full: 0 surviving, competitive false, recoverable false
48d8fb45 full: 0 surviving, competitive false, recoverable false
d406998b two-pair: 0 surviving, competitive false, recoverable false
57aa92db two-pair: 0 surviving, competitive false, recoverable false
4093f84a full: 0 surviving, competitive false, recoverable false
2013d3e2 two-pair: 0 surviving, competitive false, recoverable false
42a50994 two-pair: 4 surviving, competitive false, recoverable false
af902bf9 full: 0 surviving, competitive false, recoverable false
48d8fb45 two-pair: 0 surviving, competitive false, recoverable false
780d0b14 two-pair: 0 surviving, competitive false, recoverable false
af902bf9 two-pair: 0 surviving, competitive false, recoverable false
d90796e8 full: 0 surviving, competitive false, recoverable false
0ca9ddb6 full: 0 surviving, competitive false, recoverable false
d07ae81c full: 0 surviving, competitive false, recoverable false
d90796e8 two-pair: 0 surviving, competitive false, recoverable false
1e32b0e9 two-pair: 0 surviving, competitive false, recoverable false
4093f84a two-pair: 0 surviving, competitive false, recoverable false
6430c8c4 full: 1 surviving, competitive false, recoverable false
6430c8c4 two-pair: 1 surviving, competitive false, recoverable false
d07ae81c two-pair: 0 surviving, competitive false, recoverable false
017c7c7b full: 0 surviving, competitive false, recoverable false
f8a8fe49 full: 0 surviving, competitive false, recoverable false
dbc1a6ce full: 0 surviving, competitive false, recoverable false
0ca9ddb6 two-pair: 0 surviving, competitive false, recoverable false
017c7c7b two-pair: 0 surviving, competitive false, recoverable false
1fad071e full: 0 surviving, competitive false, recoverable false
b7249182 full: 0 surviving, competitive false, recoverable false
dbc1a6ce two-pair: 0 surviving, competitive false, recoverable false
1fad071e two-pair: 0 surviving, competitive false, recoverable false
6150a2bd full: 1 surviving, competitive false, recoverable false
f8a8fe49 two-pair: 0 surviving, competitive false, recoverable false
868de0fa full: 0 surviving, competitive false, recoverable false
6150a2bd two-pair: 1 surviving, competitive false, recoverable false
de1cd16c full: 0 surviving, competitive false, recoverable false
868de0fa two-pair: 0 surviving, competitive false, recoverable false
22eb0ac0 full: 0 surviving, competitive false, recoverable false
a8d7556c full: 0 surviving, competitive false, recoverable false
f8b3ba0a full: 0 surviving, competitive false, recoverable false
b8cdaf2b full: 0 surviving, competitive false, recoverable false
b782dc8a full: 0 surviving, competitive false, recoverable false
b6afb2da full: 0 surviving, competitive false, recoverable false
b8cdaf2b two-pair: 0 surviving, competitive false, recoverable false
ea32f347 full: 0 surviving, competitive false, recoverable false
b7249182 two-pair: 0 surviving, competitive false, recoverable false
a8d7556c two-pair: 0 surviving, competitive false, recoverable false
de1cd16c two-pair: 0 surviving, competitive false, recoverable false
ea32f347 two-pair: 0 surviving, competitive false, recoverable false
b6afb2da two-pair: 0 surviving, competitive false, recoverable false
44f52bb0 full: 0 surviving, competitive false, recoverable false
25d8a9c8 full: 2 surviving, competitive false, recoverable false
8d510a79 full: 0 surviving, competitive false, recoverable false
44f52bb0 two-pair: 0 surviving, competitive false, recoverable false
f8b3ba0a two-pair: 0 surviving, competitive false, recoverable false
aedd82e4 full: 2 surviving, competitive false, recoverable false
b782dc8a two-pair: 0 surviving, competitive false, recoverable false
aedd82e4 two-pair: 2 surviving, competitive false, recoverable false
bb43febb full: 0 surviving, competitive false, recoverable false
8d510a79 two-pair: 0 surviving, competitive false, recoverable false
25d8a9c8 two-pair: 2 surviving, competitive false, recoverable false
22eb0ac0 two-pair: 0 surviving, competitive false, recoverable false
fafffa47 full: 1 surviving, competitive false, recoverable false
c9f8e694 full: 0 surviving, competitive false, recoverable false
bb43febb two-pair: 0 surviving, competitive false, recoverable false
fafffa47 two-pair: 1 surviving, competitive false, recoverable false
2dc579da full: 0 surviving, competitive false, recoverable false
5168d44c full: 0 surviving, competitive false, recoverable false
10fcaaa3 full: 0 surviving, competitive false, recoverable false
2dc579da two-pair: 0 surviving, competitive false, recoverable false
5168d44c two-pair: 0 surviving, competitive false, recoverable false
10fcaaa3 two-pair: 0 surviving, competitive false, recoverable false
ef135b50 full: 0 surviving, competitive false, recoverable false
ef135b50 two-pair: 0 surviving, competitive false, recoverable false
1b60fb0c full: 0 surviving, competitive false, recoverable false
3345333e full: 0 surviving, competitive false, recoverable false
1b60fb0c two-pair: 0 surviving, competitive false, recoverable false
c9f8e694 two-pair: 0 surviving, competitive false, recoverable false
178fcbfb full: 0 surviving, competitive false, recoverable false
6cdd2623 full: 0 surviving, competitive false, recoverable false
be94b721 full: 9 surviving, competitive false, recoverable false
178fcbfb two-pair: 0 surviving, competitive false, recoverable false
9dfd6313 full: 1 surviving, competitive false, recoverable false
06df4c85 full: 0 surviving, competitive false, recoverable false
9dfd6313 two-pair: 1 surviving, competitive false, recoverable false
b548a754 full: 0 surviving, competitive false, recoverable false
c1d99e64 full: 0 surviving, competitive false, recoverable false
3345333e two-pair: 0 surviving, competitive false, recoverable false
b548a754 two-pair: 0 surviving, competitive false, recoverable false
be94b721 two-pair: 9 surviving, competitive false, recoverable false
0520fde7 full: 1 surviving, competitive false, recoverable false
0520fde7 two-pair: 1 surviving, competitive false, recoverable false
ac0a08a4 full: 0 surviving, competitive false, recoverable false
c1d99e64 two-pair: 0 surviving, competitive false, recoverable false
ac0a08a4 two-pair: 0 surviving, competitive false, recoverable false
06df4c85 two-pair: 0 surviving, competitive false, recoverable false
bd4472b8 full: 0 surviving, competitive false, recoverable false
6cdd2623 two-pair: 0 surviving, competitive false, recoverable false
bd4472b8 two-pair: 0 surviving, competitive false, recoverable false
cdecee7f full: 0 surviving, competitive false, recoverable false
8f2ea7aa full: 0 surviving, competitive false, recoverable false
2bcee788 full: 0 surviving, competitive false, recoverable false
0d3d703e full: 0 surviving, competitive false, recoverable false
0d3d703e two-pair: 0 surviving, competitive false, recoverable false
8f2ea7aa two-pair: 0 surviving, competitive false, recoverable false
794b24be full: 0 surviving, competitive false, recoverable false
794b24be two-pair: 0 surviving, competitive false, recoverable false
91714a58 full: 0 surviving, competitive false, recoverable false
9565186b full: 4 surviving, competitive false, recoverable false
d2abd087 full: 0 surviving, competitive false, recoverable false
9565186b two-pair: 4 surviving, competitive false, recoverable false
2bcee788 two-pair: 0 surviving, competitive false, recoverable false
d2abd087 two-pair: 0 surviving, competitive false, recoverable false
b27ca6d3 full: 0 surviving, competitive false, recoverable false
63613498 full: 0 surviving, competitive false, recoverable false
cdecee7f two-pair: 0 surviving, competitive false, recoverable false
b27ca6d3 two-pair: 0 surviving, competitive false, recoverable false
228f6490 full: 0 surviving, competitive false, recoverable false
72322fa7 full: 0 surviving, competitive false, recoverable false
f9012d9b full: 0 surviving, competitive false, recoverable false
b9b7f026 full: 0 surviving, competitive false, recoverable false
f9012d9b two-pair: 0 surviving, competitive false, recoverable false
f8c80d96 full: 0 surviving, competitive false, recoverable false
846bdb03 full: 0 surviving, competitive false, recoverable false
99fa7670 full: 0 surviving, competitive false, recoverable false
6ecd11f4 full: 0 surviving, competitive false, recoverable false
f8c80d96 two-pair: 0 surviving, competitive false, recoverable false
99fa7670 two-pair: 0 surviving, competitive false, recoverable false
f25fbde4 full: 1 surviving, competitive false, recoverable false
63613498 two-pair: 1 surviving, competitive false, recoverable false
228f6490 two-pair: 0 surviving, competitive false, recoverable false
f25fbde4 two-pair: 1 surviving, competitive false, recoverable false
b1948b0a full: 3 surviving, competitive false, recoverable false
b1948b0a two-pair: 3 surviving, competitive false, recoverable false
846bdb03 two-pair: 0 surviving, competitive false, recoverable false
834ec97d full: 0 surviving, competitive false, recoverable false
834ec97d two-pair: 0 surviving, competitive false, recoverable false
6fa7a44f full: 1 surviving, competitive false, recoverable false
6fa7a44f two-pair: 1 surviving, competitive false, recoverable false
7837ac64 full: 0 surviving, competitive false, recoverable false
b9b7f026 two-pair: 0 surviving, competitive false, recoverable false
6855a6e4 full: 0 surviving, competitive false, recoverable false
007bbfb7 full: 0 surviving, competitive false, recoverable false
91714a58 two-pair: 0 surviving, competitive false, recoverable false
007bbfb7 two-pair: 0 surviving, competitive false, recoverable false
469497ad full: 0 surviving, competitive false, recoverable false
a61f2674 full: 0 surviving, competitive false, recoverable false
6855a6e4 two-pair: 0 surviving, competitive false, recoverable false
8403a5d5 full: 0 surviving, competitive false, recoverable false
469497ad two-pair: 0 surviving, competitive false, recoverable false
a61f2674 two-pair: 0 surviving, competitive false, recoverable false
72322fa7 two-pair: 0 surviving, competitive false, recoverable false
890034e9 full: 0 surviving, competitive false, recoverable false
e50d258f full: 0 surviving, competitive false, recoverable false
8403a5d5 two-pair: 0 surviving, competitive false, recoverable false
e50d258f two-pair: 0 surviving, competitive false, recoverable false
9ecd008a full: 0 surviving, competitive false, recoverable false
f35d900a full: 0 surviving, competitive false, recoverable false
22168020 full: 0 surviving, competitive false, recoverable false
e98196ab full: 0 surviving, competitive false, recoverable false
890034e9 two-pair: 0 surviving, competitive false, recoverable false
e76a88a6 full: 0 surviving, competitive false, recoverable false
ed36ccf7 full: 1 surviving, competitive false, recoverable false
ed36ccf7 two-pair: 1 surviving, competitive false, recoverable false
09629e4f full: 0 surviving, competitive false, recoverable false
67a423a3 full: 0 surviving, competitive false, recoverable false
ce602527 full: 0 surviving, competitive false, recoverable false
7837ac64 two-pair: 0 surviving, competitive false, recoverable false
9ecd008a two-pair: 0 surviving, competitive false, recoverable false
e98196ab two-pair: 0 surviving, competitive false, recoverable false
67a423a3 two-pair: 0 surviving, competitive false, recoverable false
3bdb4ada full: 0 surviving, competitive false, recoverable false
6b9890af full: 0 surviving, competitive false, recoverable false
f35d900a two-pair: 0 surviving, competitive false, recoverable false
22168020 two-pair: 0 surviving, competitive false, recoverable false
4258a5f9 full: 1 surviving, competitive false, recoverable false
e76a88a6 two-pair: 0 surviving, competitive false, recoverable false
4258a5f9 two-pair: 1 surviving, competitive false, recoverable false
d4469b4b full: 0 surviving, competitive false, recoverable false
b91ae062 full: 0 surviving, competitive false, recoverable false
025d127b full: 0 surviving, competitive false, recoverable false
d4469b4b two-pair: 0 surviving, competitive false, recoverable false
09629e4f two-pair: 0 surviving, competitive false, recoverable false
5582e5ca full: 5 surviving, competitive false, recoverable false
ce602527 two-pair: 0 surviving, competitive false, recoverable false
5582e5ca two-pair: 5 surviving, competitive false, recoverable false
b91ae062 two-pair: 1 surviving, competitive false, recoverable false
c9e6f938 full: 1 surviving, competitive false, recoverable false
c9e6f938 two-pair: 1 surviving, competitive false, recoverable false
d037b0a7 full: 0 surviving, competitive false, recoverable false
8e5a5113 full: 0 surviving, competitive false, recoverable false
3bdb4ada two-pair: 0 surviving, competitive false, recoverable false
d037b0a7 two-pair: 0 surviving, competitive false, recoverable false
025d127b two-pair: 0 surviving, competitive false, recoverable false
c3e719e8 full: 0 surviving, competitive false, recoverable false
dc433765 full: 0 surviving, competitive false, recoverable false
dc433765 two-pair: 0 surviving, competitive false, recoverable false
1e0a9b12 full: 1 surviving, competitive false, recoverable false
ded97339 full: 0 surviving, competitive false, recoverable false
c3e719e8 two-pair: 0 surviving, competitive false, recoverable false
ded97339 two-pair: 0 surviving, competitive false, recoverable false
f15e1fac full: 0 surviving, competitive false, recoverable false
8e5a5113 two-pair: 0 surviving, competitive false, recoverable false
1e0a9b12 two-pair: 1 surviving, competitive false, recoverable false
f15e1fac two-pair: 0 surviving, competitive false, recoverable false
d10ecb37 full: 0 surviving, competitive false, recoverable false
d13f3404 full: 0 surviving, competitive false, recoverable false
6b9890af two-pair: 0 surviving, competitive false, recoverable false
d10ecb37 two-pair: 0 surviving, competitive false, recoverable false
