dataset	split	task	arm	fit	correct	correct_grids	test_grids	oracle_chosen_family	selected_program	oracle_witness
ARC1	training	85c4e7cd	grid_d2	false	false	0	1	false		
ARC1	training	85c4e7cd	objects	false	false	0	1	false		
ARC1	training	85c4e7cd	grid_objects	false	false	0	1	false		
ARC1	training	3de23699	complete	false	false	0	1	NA	id	
ARC1	training	3de23699	grid_d2	false	false	0	1	false		
ARC1	training	3de23699	objects	false	false	0	1	false		
ARC1	training	3de23699	grid_objects	false	false	0	1	false		
ARC1	evaluation	bf32578f	complete	false	false	0	1	NA	id	
ARC1	evaluation	bf32578f	grid_d2	false	false	0	1	false		
ARC1	evaluation	bf32578f	objects	false	false	0	1	false		
ARC1	evaluation	bf32578f	grid_objects	false	false	0	1	false		
ARC1	training	1c786137	complete	false	false	0	1	NA	id	
ARC1	training	1c786137	grid_d2	false	false	0	1	false		
ARC1	training	1c786137	objects	false	false	0	1	false		
ARC1	training	1c786137	grid_objects	false	false	0	1	false		
ARC1	evaluation	6df30ad6	complete	false	false	0	1	NA	id	
ARC1	evaluation	6df30ad6	grid_d2	false	false	0	1	false		
ARC1	evaluation	6df30ad6	objects	false	false	0	1	false		
ARC1	evaluation	6df30ad6	grid_objects	false	false	0	1	false		
ARC1	evaluation	17cae0c1	complete	false	false	0	1	NA	id	
ARC1	evaluation	17cae0c1	grid_d2	false	false	0	1	false		
ARC1	evaluation	17cae0c1	objects	false	false	0	1	false		
ARC1	evaluation	17cae0c1	grid_objects	false	false	0	1	false		
ARC1	training	53b68214	complete	false	false	0	2	NA	tile 2 1	
ARC1	training	53b68214	grid_d2	false	false	0	2	false		
ARC1	training	53b68214	objects	false	false	0	2	false		
ARC1	training	53b68214	grid_objects	false	false	0	2	false		
ARC1	training	444801d8	complete	false	false	0	1	NA	id	
ARC1	training	444801d8	grid_d2	false	false	0	1	false		
ARC1	training	444801d8	objects	false	false	0	1	false		
ARC1	training	444801d8	grid_objects	false	false	0	1	false		
ARC1	evaluation	4364c1c4	complete	false	false	0	1	NA	id	
ARC1	evaluation	4364c1c4	grid_d2	false	false	0	1	false		
ARC1	evaluation	4364c1c4	objects	false	false	0	1	false		
ARC1	evaluation	4364c1c4	grid_objects	false	false	0	1	false		
ARC1	training	28bf18c6	complete	true	true	1	1	NA	cropBBox ; hconcat	
ARC1	training	28bf18c6	grid_d2	true	true	1	1	true	cropBBox ; hconcat	cropBBox ; hconcat
ARC1	training	28bf18c6	objects	false	false	0	1	false		
ARC1	training	28bf18c6	grid_objects	true	true	1	1	true	cropBBox ; hconcat	cropBBox ; hconcat
ARC1	evaluation	bd14c3bf	complete	false	false	0	1	NA	id	
ARC1	evaluation	bd14c3bf	grid_d2	false	false	0	1	false		
ARC1	evaluation	bd14c3bf	objects	false	false	0	1	false		
ARC1	evaluation	bd14c3bf	grid_objects	false	false	0	1	false		
ARC1	evaluation	a096bf4d	complete	false	false	0	1	NA	id	
ARC1	evaluation	a096bf4d	grid_d2	false	false	0	1	false		
ARC1	evaluation	a096bf4d	objects	false	false	0	1	false		
ARC1	evaluation	a096bf4d	grid_objects	false	false	0	1	false		
ARC1	evaluation	18419cfa	complete	false	false	0	1	NA	id	
ARC1	evaluation	18419cfa	grid_d2	false	false	0	1	false		
ARC1	evaluation	18419cfa	objects	false	false	0	1	false		
ARC1	evaluation	18419cfa	grid_objects	false	false	0	1	false		
ARC1	training	d9f24cd1	complete	false	false	0	1	NA	id	
ARC1	training	d9f24cd1	grid_d2	false	false	0	1	false		
ARC1	training	d9f24cd1	objects	false	false	0	1	false		
ARC1	training	d9f24cd1	grid_objects	false	false	0	1	false		
ARC1	training	a78176bb	complete	false	false	0	1	NA	id	
ARC1	training	a78176bb	grid_d2	false	false	0	1	false		
ARC1	training	a78176bb	objects	false	false	0	1	false		
ARC1	training	a78176bb	grid_objects	false	false	0	1	false		
ARC1	evaluation	8fbca751	complete	false	false	0	1	NA	id	
ARC1	evaluation	8fbca751	grid_d2	false	false	0	1	false		
ARC1	evaluation	8fbca751	objects	false	false	0	1	false		
ARC1	evaluation	8fbca751	grid_objects	false	false	0	1	false		
ARC1	training	32597951	complete	false	false	0	1	NA	id	
ARC1	training	32597951	grid_d2	false	false	0	1	false		
ARC1	training	32597951	objects	false	false	0	1	false		
ARC1	training	32597951	grid_objects	false	false	0	1	false		
ARC1	training	952a094c	complete	false	false	0	1	NA	id	
ARC1	training	952a094c	grid_d2	false	false	0	1	false		
ARC1	training	952a094c	objects	false	false	0	1	false		
ARC1	training	952a094c	grid_objects	false	false	0	1	false		
ARC1	training	b0c4d837	complete	false	false	0	1	NA	id	
ARC1	training	b0c4d837	grid_d2	false	false	0	1	false		
ARC1	training	b0c4d837	objects	false	false	0	1	false		
ARC1	training	b0c4d837	grid_objects	false	false	0	1	false		
ARC1	evaluation	62b74c02	complete	false	false	0	1	NA	id	
ARC1	evaluation	62b74c02	grid_d2	false	false	0	1	false		
ARC1	evaluation	62b74c02	objects	false	false	0	1	false		
ARC1	evaluation	62b74c02	grid_objects	false	false	0	1	false		
ARC1	training	a85d4709	complete	false	false	0	1	NA	id	
ARC1	training	a85d4709	grid_d2	false	false	0	1	false		
ARC1	training	a85d4709	objects	false	false	0	1	false		
ARC1	training	a85d4709	grid_objects	false	false	0	1	false		
ARC1	evaluation	73ccf9c2	complete	false	false	0	1	NA	id	
ARC1	evaluation	73ccf9c2	grid_d2	false	false	0	1	false		
ARC1	evaluation	73ccf9c2	objects	false	false	0	1	false		
ARC1	evaluation	73ccf9c2	grid_objects	false	false	0	1	false		
ARC1	evaluation	f4081712	complete	false	false	0	1	NA	id	
ARC1	evaluation	f4081712	grid_d2	false	false	0	1	false		
ARC1	evaluation	f4081712	objects	false	false	0	1	false		
ARC1	evaluation	f4081712	grid_objects	false	false	0	1	false		
ARC1	training	6f8cd79b	complete	false	false	0	1	NA	id	
ARC1	training	6f8cd79b	grid_d2	false	false	0	1	false		
ARC1	training	6f8cd79b	objects	false	false	0	1	false		
ARC1	training	6f8cd79b	grid_objects	false	false	0	1	false		
ARC1	training	6e19193c	complete	false	false	0	1	NA	id	
ARC1	training	6e19193c	grid_d2	false	false	0	1	false		
ARC1	training	6e19193c	objects	false	false	0	1	false		
ARC1	training	6e19193c	grid_objects	false	false	0	1	false		
ARC1	evaluation	fd4b2b02	complete	false	false	0	1	NA	id	
ARC1	evaluation	fd4b2b02	grid_d2	false	false	0	1	false		
ARC1	evaluation	fd4b2b02	objects	false	false	0	1	false		
ARC1	evaluation	fd4b2b02	grid_objects	false	false	0	1	false		
ARC1	evaluation	e9c9d9a1	complete	false	false	0	1	NA	id	
ARC1	evaluation	e9c9d9a1	grid_d2	false	false	0	1	false		
ARC1	evaluation	e9c9d9a1	objects	false	false	0	1	false		
ARC1	evaluation	e9c9d9a1	grid_objects	false	false	0	1	false		
ARC1	training	67385a82	complete	false	false	0	1	NA	id	
ARC1	training	67385a82	grid_d2	false	false	0	1	false		
ARC1	training	67385a82	objects	true	false	0	1	false	zero-4-mono / Widest / Recolour(8) / Original	
ARC1	training	67385a82	grid_objects	true	false	0	1	false	zero-4-mono / Widest / Recolour(8) / Original	
ARC1	evaluation	40f6cd08	complete	false	false	0	1	NA	id	
ARC1	evaluation	40f6cd08	grid_d2	false	false	0	1	false		
ARC1	evaluation	40f6cd08	objects	false	false	0	1	false		
ARC1	evaluation	40f6cd08	grid_objects	false	false	0	1	false		
ARC1	evaluation	136b0064	complete	false	false	0	1	NA	id	
ARC1	evaluation	136b0064	grid_d2	false	false	0	1	false		
ARC1	evaluation	136b0064	objects	false	false	0	1	false		
ARC1	evaluation	136b0064	grid_objects	false	false	0	1	false		
ARC1	evaluation	a8610ef7	complete	false	false	0	1	NA	id	
ARC1	evaluation	a8610ef7	grid_d2	false	false	0	1	false		
ARC1	evaluation	a8610ef7	objects	false	false	0	1	false		
ARC1	evaluation	a8610ef7	grid_objects	false	false	0	1	false		
ARC1	evaluation	0becf7df	complete	false	false	0	1	NA	id	
ARC1	evaluation	0becf7df	grid_d2	false	false	0	1	false		
ARC1	evaluation	0becf7df	objects	false	false	0	1	false		
ARC1	evaluation	0becf7df	grid_objects	false	false	0	1	false		
ARC1	training	b8825c91	complete	true	true	1	1	NA	recolour 4 0 ; symmetrize4	
ARC1	training	b8825c91	grid_d2	true	false	0	1	true	recolour 4 0 ; symmetrizeH	recolour 4 0 ; symmetrize4
ARC1	training	b8825c91	objects	false	false	0	1	false		
ARC1	training	b8825c91	grid_objects	true	false	0	1	true	recolour 4 0 ; symmetrizeH	recolour 4 0 ; symmetrize4
ARC1	training	5bd6f4ac	complete	false	false	0	1	NA	id	
ARC1	training	5bd6f4ac	grid_d2	false	false	0	1	false		
ARC1	training	5bd6f4ac	objects	false	false	0	1	false		
ARC1	training	5bd6f4ac	grid_objects	false	false	0	1	false		
ARC1	training	2dd70a9a	complete	false	false	0	1	NA	id	
ARC1	training	2dd70a9a	grid_d2	false	false	0	1	false		
ARC1	training	2dd70a9a	objects	false	false	0	1	false		
ARC1	training	2dd70a9a	grid_objects	false	false	0	1	false		
ARC1	evaluation	13713586	complete	false	false	0	1	NA	id	
ARC1	evaluation	13713586	grid_d2	false	false	0	1	false		
ARC1	evaluation	13713586	objects	false	false	0	1	false		
ARC1	evaluation	13713586	grid_objects	false	false	0	1	false		
ARC1	training	0dfd9992	complete	false	false	0	1	NA	id	
ARC1	training	0dfd9992	grid_d2	false	false	0	1	false		
ARC1	training	0dfd9992	objects	false	false	0	1	false		
ARC1	training	0dfd9992	grid_objects	false	false	0	1	false		
ARC1	training	810b9b61	complete	false	false	0	1	NA	id	
ARC1	training	810b9b61	grid_d2	false	false	0	1	false		
ARC1	training	810b9b61	objects	false	false	0	1	false		
ARC1	training	810b9b61	grid_objects	false	false	0	1	false		
ARC1	evaluation	da2b0fe3	complete	false	false	0	2	NA	id	
ARC1	evaluation	da2b0fe3	grid_d2	false	false	0	2	false		
ARC1	evaluation	da2b0fe3	objects	false	false	0	2	false		
ARC1	evaluation	da2b0fe3	grid_objects	false	false	0	2	false		
ARC1	evaluation	b1fc8b8e	complete	false	false	0	2	NA	id	
ARC1	evaluation	b1fc8b8e	grid_d2	false	false	0	2	false		
ARC1	evaluation	b1fc8b8e	objects	false	false	0	2	false		
ARC1	evaluation	b1fc8b8e	grid_objects	false	false	0	2	false		
ARC1	training	045e512c	complete	false	false	0	1	NA	id	
ARC1	training	045e512c	grid_d2	false	false	0	1	false		
ARC1	training	045e512c	objects	false	false	0	1	false		
ARC1	training	045e512c	grid_objects	false	false	0	1	false		
ARC1	evaluation	85b81ff1	complete	false	false	0	1	NA	id	
ARC1	evaluation	85b81ff1	grid_d2	false	false	0	1	false		
ARC1	evaluation	85b81ff1	objects	false	false	0	1	false		
ARC1	evaluation	85b81ff1	grid_objects	false	false	0	1	false		
ARC1	evaluation	ac0c5833	complete	false	false	0	1	NA	id	
ARC1	evaluation	ac0c5833	grid_d2	false	false	0	1	false		
ARC1	evaluation	ac0c5833	objects	false	false	0	1	false		
ARC1	evaluation	ac0c5833	grid_objects	false	false	0	1	false		
ARC1	evaluation	8b28cd80	complete	false	false	0	2	NA	id	
ARC1	evaluation	8b28cd80	grid_d2	false	false	0	2	false		
ARC1	evaluation	8b28cd80	objects	false	false	0	2	false		
ARC1	evaluation	8b28cd80	grid_objects	false	false	0	2	false		
ARC1	training	50846271	complete	false	false	0	1	NA	id	
ARC1	training	50846271	grid_d2	false	false	0	1	false		
ARC1	training	50846271	objects	false	false	0	1	false		
ARC1	training	50846271	grid_objects	false	false	0	1	false		
ARC1	training	ff28f65a	complete	false	false	0	3	NA	id	
ARC1	training	ff28f65a	grid_d2	false	false	0	3	false		
ARC1	training	ff28f65a	objects	false	false	0	3	false		
ARC1	training	ff28f65a	grid_objects	false	false	0	3	false		
ARC1	training	b94a9452	complete	false	false	0	1	NA	id	
ARC1	training	b94a9452	grid_d2	false	false	0	1	false		
ARC1	training	b94a9452	objects	false	false	0	1	false		
ARC1	training	b94a9452	grid_objects	false	false	0	1	false		
ARC1	training	0a938d79	complete	false	false	0	1	NA	id	
ARC1	training	0a938d79	grid_d2	false	false	0	1	false		
ARC1	training	0a938d79	objects	false	false	0	1	false		
ARC1	training	0a938d79	grid_objects	false	false	0	1	false		
ARC1	training	5c0a986e	complete	false	false	0	1	NA	id	
ARC1	training	5c0a986e	grid_d2	false	false	0	1	false		
ARC1	training	5c0a986e	objects	false	false	0	1	false		
ARC1	training	5c0a986e	grid_objects	false	false	0	1	false		
ARC1	evaluation	7bb29440	complete	false	false	0	1	NA	cropLargest	
ARC1	evaluation	7bb29440	grid_d2	false	false	0	1	false		
ARC1	evaluation	7bb29440	objects	false	false	0	1	false		
ARC1	evaluation	7bb29440	grid_objects	false	false	0	1	false		
ARC1	training	623ea044	complete	false	false	0	1	NA	id	
ARC1	training	623ea044	grid_d2	false	false	0	1	false		
ARC1	training	623ea044	objects	false	false	0	1	false		
ARC1	training	623ea044	grid_objects	false	false	0	1	false		
ARC1	training	27a28665	complete	false	false	0	3	NA	id	
ARC1	training	27a28665	grid_d2	false	false	0	3	false		
ARC1	training	27a28665	objects	false	false	0	3	false		
ARC1	training	27a28665	grid_objects	false	false	0	3	false		
ARC1	training	d9fac9be	complete	true	false	0	1	NA	shiftRight ; topHalf ; cropSmallest	
ARC1	training	d9fac9be	grid_d2	true	false	0	1	false	topHalf ; cropSmallest	
ARC1	training	d9fac9be	objects	false	false	0	1	false		
ARC1	training	d9fac9be	grid_objects	true	false	0	1	false	topHalf ; cropSmallest	
ARC1	training	3ac3eb23	complete	false	false	0	1	NA	id	
ARC1	training	3ac3eb23	grid_d2	false	false	0	1	false		
ARC1	training	3ac3eb23	objects	false	false	0	1	false		
ARC1	training	3ac3eb23	grid_objects	false	false	0	1	false		
ARC1	evaluation	070dd51e	complete	false	false	0	1	NA	id	
ARC1	evaluation	070dd51e	grid_d2	false	false	0	1	false		
ARC1	evaluation	070dd51e	objects	false	false	0	1	false		
ARC1	evaluation	070dd51e	grid_objects	false	false	0	1	false		
ARC1	evaluation	66e6c45b	complete	false	false	0	1	NA	id	
ARC1	evaluation	66e6c45b	grid_d2	false	false	0	1	false		
ARC1	evaluation	66e6c45b	objects	false	false	0	1	false		
ARC1	evaluation	66e6c45b	grid_objects	false	false	0	1	false		
ARC1	evaluation	90347967	complete	false	false	0	1	NA	rot180	
ARC1	evaluation	90347967	grid_d2	false	false	0	1	false		
ARC1	evaluation	90347967	objects	false	false	0	1	false		
ARC1	evaluation	90347967	grid_objects	false	false	0	1	false		
ARC1	evaluation	b457fec5	complete	false	false	0	1	NA	id	
ARC1	evaluation	b457fec5	grid_d2	false	false	0	1	false		
ARC1	evaluation	b457fec5	objects	false	false	0	1	false		
ARC1	evaluation	b457fec5	grid_objects	false	false	0	1	false		
ARC1	evaluation	0c9aba6e	complete	true	true	1	1	NA	splitV nor 8	
ARC1	evaluation	0c9aba6e	grid_d2	true	true	1	1	true	splitV nor 8	splitV nor 8
ARC1	evaluation	0c9aba6e	objects	false	false	0	1	false		
ARC1	evaluation	0c9aba6e	grid_objects	true	true	1	1	true	splitV nor 8	splitV nor 8
ARC1	training	7f4411dc	complete	false	false	0	1	NA	id	
ARC1	training	7f4411dc	grid_d2	false	false	0	1	false		
ARC1	training	7f4411dc	objects	false	false	0	1	false		
ARC1	training	7f4411dc	grid_objects	false	false	0	1	false		
ARC1	training	7468f01a	complete	true	true	1	1	NA	flipH ; cropBBox	
ARC1	training	7468f01a	grid_d2	true	true	1	1	true	flipH ; cropBBox	flipH ; cropBBox
ARC1	training	7468f01a	objects	true	true	1	1	true	zero-4-multi / All / MirrorH / Crop	zero-4-multi / All / MirrorH / Crop
ARC1	training	7468f01a	grid_objects	true	true	1	1	true	flipH ; cropBBox	flipH ; cropBBox
ARC1	training	ce9e57f2	complete	false	false	0	1	NA	id	
ARC1	training	ce9e57f2	grid_d2	false	false	0	1	false		
ARC1	training	ce9e57f2	objects	false	false	0	1	false		
ARC1	training	ce9e57f2	grid_objects	false	false	0	1	false		
ARC1	training	67e8384a	complete	true	true	1	1	NA	mirror4	
ARC1	training	67e8384a	grid_d2	true	true	1	1	true	mirror4	mirror4
ARC1	training	67e8384a	objects	false	false	0	1	false		
ARC1	training	67e8384a	grid_objects	true	true	1	1	true	mirror4	mirror4
ARC1	training	88a62173	complete	false	false	0	1	NA	cropLargest	
ARC1	training	88a62173	grid_d2	false	false	0	1	false		
ARC1	training	88a62173	objects	true	true	1	1	true	zero-8-mono / UniqueShape / Identity / Crop	zero-8-mono / UniqueShape / Identity / Crop
ARC1	training	88a62173	grid_objects	true	true	1	1	true	zero-8-mono / UniqueShape / Identity / Crop	zero-8-mono / UniqueShape / Identity / Crop
ARC1	training	8efcae92	complete	false	false	0	1	NA	bottomHalf ; cropLargest	
ARC1	training	8efcae92	grid_d2	false	false	0	1	false		
ARC1	training	8efcae92	objects	false	false	0	1	false		
ARC1	training	8efcae92	grid_objects	false	false	0	1	false		
ARC1	training	e3497940	complete	true	true	1	1	NA	symmetrizeH ; leftHalf	
ARC1	training	e3497940	grid_d2	true	true	1	1	true	symmetrizeH ; leftHalf	symmetrizeH ; leftHalf
ARC1	training	e3497940	objects	false	false	0	1	false		
ARC1	training	e3497940	grid_objects	true	true	1	1	true	symmetrizeH ; leftHalf	symmetrizeH ; leftHalf
ARC1	training	2bee17df	complete	false	false	0	1	NA	id	
ARC1	training	2bee17df	grid_d2	false	false	0	1	false		
ARC1	training	2bee17df	objects	false	false	0	1	false		
ARC1	training	2bee17df	grid_objects	false	false	0	1	false		
ARC1	training	272f95fa	complete	false	false	0	1	NA	id	
ARC1	training	272f95fa	grid_d2	false	false	0	1	false		
ARC1	training	272f95fa	objects	false	false	0	1	false		
ARC1	training	272f95fa	grid_objects	false	false	0	1	false		
ARC1	evaluation	9b4c17c4	complete	false	false	0	2	NA	id	
ARC1	evaluation	9b4c17c4	grid_d2	false	false	0	2	false		
ARC1	evaluation	9b4c17c4	objects	false	false	0	2	false		
ARC1	evaluation	9b4c17c4	grid_objects	false	false	0	2	false		
ARC1	evaluation	d4c90558	complete	false	false	0	1	NA	id	
ARC1	evaluation	d4c90558	grid_d2	false	false	0	1	false		
ARC1	evaluation	d4c90558	objects	false	false	0	1	false		
ARC1	evaluation	d4c90558	grid_objects	false	false	0	1	false		
ARC1	evaluation	a406ac07	complete	false	false	0	1	NA	id	
ARC1	evaluation	a406ac07	grid_d2	false	false	0	1	false		
ARC1	evaluation	a406ac07	objects	false	false	0	1	false		
ARC1	evaluation	a406ac07	grid_objects	false	false	0	1	false		
ARC1	training	bbc9ae5d	complete	false	false	0	1	NA	id	
ARC1	training	bbc9ae5d	grid_d2	false	false	0	1	false		
ARC1	training	bbc9ae5d	objects	false	false	0	1	false		
ARC1	training	bbc9ae5d	grid_objects	false	false	0	1	false		
ARC1	training	b2862040	complete	false	false	0	1	NA	id	
ARC1	training	b2862040	grid_d2	false	false	0	1	false		
ARC1	training	b2862040	objects	false	false	0	1	false		
ARC1	training	b2862040	grid_objects	false	false	0	1	false		
ARC1	evaluation	8597cfd7	complete	false	false	0	1	NA	id	
ARC1	evaluation	8597cfd7	grid_d2	false	false	0	1	false		
ARC1	evaluation	8597cfd7	objects	false	false	0	1	false		
ARC1	evaluation	8597cfd7	grid_objects	false	false	0	1	false		
ARC1	evaluation	b942fd60	complete	false	false	0	1	NA	id	
ARC1	evaluation	b942fd60	grid_d2	false	false	0	1	false		
ARC1	evaluation	b942fd60	objects	false	false	0	1	false		
ARC1	evaluation	b942fd60	grid_objects	false	false	0	1	false		
ARC1	training	6e02f1e3	complete	false	false	0	1	NA	id	
ARC1	training	6e02f1e3	grid_d2	false	false	0	1	false		
ARC1	training	6e02f1e3	objects	false	false	0	1	false		
ARC1	training	6e02f1e3	grid_objects	false	false	0	1	false		
ARC1	evaluation	69889d6e	complete	false	false	0	1	NA	id	
ARC1	evaluation	69889d6e	grid_d2	false	false	0	1	false		
ARC1	evaluation	69889d6e	objects	false	false	0	1	false		
ARC1	evaluation	69889d6e	grid_objects	false	false	0	1	false		
ARC1	training	31aa019c	complete	false	false	0	1	NA	id	
ARC1	training	31aa019c	grid_d2	false	false	0	1	false		
ARC1	training	31aa019c	objects	false	false	0	1	false		
ARC1	training	31aa019c	grid_objects	false	false	0	1	false		
ARC1	evaluation	f5aa3634	complete	false	true	1	1	NA	cropLargest	
ARC1	evaluation	f5aa3634	grid_d2	false	false	0	1	false		
ARC1	evaluation	f5aa3634	objects	false	false	0	1	false		
ARC1	evaluation	f5aa3634	grid_objects	false	false	0	1	false		
ARC1	training	ea786f4a	complete	false	false	0	1	NA	id	
ARC1	training	ea786f4a	grid_d2	false	false	0	1	false		
ARC1	training	ea786f4a	objects	false	false	0	1	false		
ARC1	training	ea786f4a	grid_objects	false	false	0	1	false		
ARC1	evaluation	bcb3040b	complete	false	false	0	1	NA	id	
ARC1	evaluation	bcb3040b	grid_d2	false	false	0	1	false		
ARC1	evaluation	bcb3040b	objects	false	false	0	1	false		
ARC1	evaluation	bcb3040b	grid_objects	false	false	0	1	false		
ARC1	training	d4a91cb9	complete	false	false	0	1	NA	id	
ARC1	training	d4a91cb9	grid_d2	false	false	0	1	false		
ARC1	training	d4a91cb9	objects	false	false	0	1	false		
ARC1	training	d4a91cb9	grid_objects	false	false	0	1	false		
ARC1	evaluation	423a55dc	complete	false	false	0	1	NA	id	
ARC1	evaluation	423a55dc	grid_d2	false	false	0	1	false		
ARC1	evaluation	423a55dc	objects	false	false	0	1	false		
ARC1	evaluation	423a55dc	grid_objects	false	false	0	1	false		
ARC1	training	82819916	complete	false	false	0	1	NA	id	
ARC1	training	82819916	grid_d2	false	false	0	1	false		
ARC1	training	82819916	objects	false	false	0	1	false		
ARC1	training	82819916	grid_objects	false	false	0	1	false		
ARC1	training	dae9d2b5	complete	true	true	2	2	NA	splitH or 6	
ARC1	training	dae9d2b5	grid_d2	true	true	2	2	true	splitH or 6	splitH or 6
ARC1	training	dae9d2b5	objects	false	false	0	2	false		
ARC1	training	dae9d2b5	grid_objects	true	true	2	2	true	splitH or 6	splitH or 6
ARC1	training	995c5fa3	complete	false	false	0	1	NA	id	
ARC1	training	995c5fa3	grid_d2	false	false	0	1	false		
ARC1	training	995c5fa3	objects	false	false	0	1	false		
ARC1	training	995c5fa3	grid_objects	false	false	0	1	false		
ARC1	training	3befdf3e	complete	false	false	0	1	NA	id	
ARC1	training	3befdf3e	grid_d2	false	false	0	1	false		
ARC1	training	3befdf3e	objects	false	false	0	1	false		
ARC1	training	3befdf3e	grid_objects	false	false	0	1	false		
ARC1	training	4be741c5	complete	false	false	0	1	NA	id	
ARC1	training	4be741c5	grid_d2	false	false	0	1	false		
ARC1	training	4be741c5	objects	false	false	0	1	false		
ARC1	training	4be741c5	grid_objects	false	false	0	1	false		
ARC1	training	9172f3a0	complete	true	true	1	1	NA	scale 3	
ARC1	training	9172f3a0	grid_d2	true	true	1	1	true	scale 3	scale 3
ARC1	training	9172f3a0	objects	false	false	0	1	false		
ARC1	training	9172f3a0	grid_objects	true	true	1	1	true	scale 3	scale 3
ARC1	evaluation	642d658d	complete	false	false	0	1	NA	id	
ARC1	evaluation	642d658d	grid_d2	false	false	0	1	false		
ARC1	evaluation	642d658d	objects	false	false	0	1	false		
ARC1	evaluation	642d658d	grid_objects	false	false	0	1	false		
ARC1	training	a3325580	complete	false	false	0	1	NA	cropLargest	
ARC1	training	a3325580	grid_d2	false	false	0	1	false		
ARC1	training	a3325580	objects	false	false	0	1	false		
ARC1	training	a3325580	grid_objects	false	false	0	1	false		
ARC1	training	90f3ed37	complete	false	false	0	1	NA	id	
ARC1	training	90f3ed37	grid_d2	false	false	0	1	false		
ARC1	training	90f3ed37	objects	false	false	0	1	false		
ARC1	training	90f3ed37	grid_objects	false	false	0	1	false		
ARC1	evaluation	58743b76	complete	false	false	0	1	NA	id	
ARC1	evaluation	58743b76	grid_d2	false	false	0	1	false		
ARC1	evaluation	58743b76	objects	false	false	0	1	false		
ARC1	evaluation	58743b76	grid_objects	false	false	0	1	false		
ARC1	training	a79310a0	complete	true	true	1	1	NA	shiftDown ; recolour 8 2	
