6d0aefbc: baseline fit 36, relation fit 0, new oracle false
b2862040: baseline fit 0, relation fit 0, new oracle false
2bee17df: baseline fit 0, relation fit 0, new oracle false
5bd6f4ac: baseline fit 0, relation fit 0, new oracle false
dae9d2b5: baseline fit 35, relation fit 0, new oracle false
d4a91cb9: baseline fit 0, relation fit 0, new oracle false
9172f3a0: baseline fit 45, relation fit 0, new oracle false
995c5fa3: baseline fit 0, relation fit 0, new oracle false
a79310a0: baseline fit 4, relation fit 0, new oracle false
90f3ed37: baseline fit 0, relation fit 0, new oracle false
272f95fa: baseline fit 0, relation fit 0, new oracle false
4be741c5: baseline fit 0, relation fit 0, new oracle false
a48eeaf7: baseline fit 0, relation fit 0, new oracle false
7468f01a: baseline fit 6, relation fit 0, new oracle false
0dfd9992: baseline fit 0, relation fit 0, new oracle false
e3497940: baseline fit 1, relation fit 0, new oracle false
3befdf3e: baseline fit 0, relation fit 0, new oracle false
caa06a1f: baseline fit 0, relation fit 0, new oracle false
2281f1f4: baseline fit 0, relation fit 0, new oracle false
82819916: baseline fit 0, relation fit 0, new oracle false
c8cbb738: baseline fit 0, relation fit 0, new oracle false
a65b410d: baseline fit 0, relation fit 0, new oracle false
d23f8c26: baseline fit 0, relation fit 0, new oracle false
4c4377d9: baseline fit 1, relation fit 0, new oracle false
662c240a: baseline fit 0, relation fit 0, new oracle false
e8593010: baseline fit 0, relation fit 0, new oracle false
5c2c9af4: baseline fit 0, relation fit 0, new oracle false
3f7978a0: baseline fit 0, relation fit 0, new oracle false
045e512c: baseline fit 0, relation fit 0, new oracle false
77fdfe62: baseline fit 0, relation fit 0, new oracle false
31aa019c: baseline fit 0, relation fit 0, new oracle false
150deff5: baseline fit 0, relation fit 0, new oracle false
95990924: baseline fit 0, relation fit 0, new oracle false
d687bc17: baseline fit 0, relation fit 0, new oracle false
7fe24cdd: baseline fit 0, relation fit 0, new oracle false
855e0971: baseline fit 0, relation fit 0, new oracle false
d631b094: baseline fit 58, relation fit 0, new oracle false
2204b7a8: baseline fit 0, relation fit 0, new oracle false
d364b489: baseline fit 0, relation fit 0, new oracle false
ce22a75a: baseline fit 6, relation fit 0, new oracle false
3aa6fb7a: baseline fit 0, relation fit 0, new oracle false
7df24a62: baseline fit 0, relation fit 0, new oracle false
3c9b0459: baseline fit 117, relation fit 0, new oracle false
d43fd935: baseline fit 0, relation fit 0, new oracle false
a416b8f3: baseline fit 72, relation fit 0, new oracle false
94f9d214: baseline fit 30, relation fit 0, new oracle false
ff805c23: baseline fit 0, relation fit 0, new oracle false
1f642eb9: baseline fit 0, relation fit 0, new oracle false
a3325580: baseline fit 0, relation fit 0, new oracle false
f5b8619d: baseline fit 0, relation fit 0, new oracle false
496994bd: baseline fit 32, relation fit 0, new oracle false
41e4d17e: baseline fit 0, relation fit 0, new oracle false
f8ff0b80: baseline fit 0, relation fit 0, new oracle false
39a8645d: baseline fit 0, relation fit 0, new oracle false
6cf79266: baseline fit 0, relation fit 0, new oracle false
1a07d186: baseline fit 0, relation fit 0, new oracle false
3af2c5a8: baseline fit 16, relation fit 0, new oracle false
5daaa586: baseline fit 0, relation fit 0, new oracle false
0e206a2e: baseline fit 0, relation fit 0, new oracle false
5ad4f10b: baseline fit 0, relation fit 0, new oracle false
46442a0e: baseline fit 0, relation fit 0, new oracle false
6d75e8bb: baseline fit 0, relation fit 0, new oracle false
c0f76784: baseline fit 0, relation fit 0, new oracle false
7b7f7511: baseline fit 0, relation fit 0, new oracle false
08ed6ac7: baseline fit 0, relation fit 0, new oracle false
928ad970: baseline fit 0, relation fit 0, new oracle false
8d5021e8: baseline fit 0, relation fit 0, new oracle false
60b61512: baseline fit 0, relation fit 0, new oracle false
a68b268e: baseline fit 0, relation fit 0, new oracle false
b190f7f5: baseline fit 0, relation fit 0, new oracle false
98cf29f8: baseline fit 0, relation fit 0, new oracle false
b60334d2: baseline fit 0, relation fit 0, new oracle false
97a05b5b: baseline fit 0, relation fit 0, new oracle false
253bf280: baseline fit 0, relation fit 0, new oracle false
25ff71a9: baseline fit 6, relation fit 0, new oracle false
54d82841: baseline fit 0, relation fit 0, new oracle false
d5d6de2d: baseline fit 3, relation fit 0, new oracle false
44d8ac46: baseline fit 0, relation fit 0, new oracle false
72ca375d: baseline fit 0, relation fit 0, new oracle false
36fdfd69: baseline fit 0, relation fit 0, new oracle false
eb281b96: baseline fit 0, relation fit 0, new oracle false
4347f46a: baseline fit 0, relation fit 0, new oracle false
29623171: baseline fit 0, relation fit 0, new oracle false
a3df8b1e: baseline fit 0, relation fit 0, new oracle false
cce03e0d: baseline fit 0, relation fit 0, new oracle false
e8dc4411: baseline fit 0, relation fit 0, new oracle false
beb8660c: baseline fit 0, relation fit 0, new oracle false
99b1bc43: baseline fit 50, relation fit 0, new oracle false
6e82a1ae: baseline fit 0, relation fit 0, new oracle false
e40b9e2f: baseline fit 0, relation fit 0, new oracle false
ba26e723: baseline fit 0, relation fit 0, new oracle false
a87f7484: baseline fit 10, relation fit 0, new oracle false
39e1d7f9: baseline fit 0, relation fit 0, new oracle false
d6ad076f: baseline fit 0, relation fit 0, new oracle false
fcb5c309: baseline fit 0, relation fit 0, new oracle false
8e1813be: baseline fit 0, relation fit 0, new oracle false
a1570a43: baseline fit 0, relation fit 0, new oracle false
88a10436: baseline fit 0, relation fit 0, new oracle false
941d9a10: baseline fit 0, relation fit 0, new oracle false
e73095fd: baseline fit 0, relation fit 0, new oracle false
b230c067: baseline fit 0, relation fit 0, new oracle false
7447852a: baseline fit 0, relation fit 0, new oracle false
a64e4611: baseline fit 0, relation fit 0, new oracle false
91413438: baseline fit 0, relation fit 0, new oracle false
3428a4f5: baseline fit 35, relation fit 0, new oracle false
1cf80156: baseline fit 100, relation fit 0, new oracle false
42a50994: baseline fit 8, relation fit 0, new oracle false
aba27056: baseline fit 0, relation fit 0, new oracle false
2c608aff: baseline fit 0, relation fit 0, new oracle false
cbded52d: baseline fit 0, relation fit 0, new oracle false
2013d3e2: baseline fit 0, relation fit 0, new oracle false
d406998b: baseline fit 0, relation fit 0, new oracle false
4c5c2cf0: baseline fit 0, relation fit 0, new oracle false
780d0b14: baseline fit 0, relation fit 0, new oracle false
af902bf9: baseline fit 0, relation fit 0, new oracle false
1e32b0e9: baseline fit 0, relation fit 0, new oracle false
d90796e8: baseline fit 0, relation fit 0, new oracle false
48d8fb45: baseline fit 0, relation fit 0, new oracle false
6430c8c4: baseline fit 50, relation fit 0, new oracle false
f8a8fe49: baseline fit 0, relation fit 0, new oracle false
4093f84a: baseline fit 0, relation fit 0, new oracle false
dbc1a6ce: baseline fit 0, relation fit 0, new oracle false
017c7c7b: baseline fit 0, relation fit 0, new oracle false
d07ae81c: baseline fit 0, relation fit 0, new oracle false
57aa92db: baseline fit 0, relation fit 0, new oracle false
0ca9ddb6: baseline fit 0, relation fit 0, new oracle false
1fad071e: baseline fit 0, relation fit 0, new oracle false
6150a2bd: baseline fit 62, relation fit 0, new oracle false
22eb0ac0: baseline fit 0, relation fit 0, new oracle false
b8cdaf2b: baseline fit 0, relation fit 0, new oracle false
868de0fa: baseline fit 0, relation fit 0, new oracle false
a8d7556c: baseline fit 0, relation fit 0, new oracle false
b782dc8a: baseline fit 0, relation fit 0, new oracle false
b6afb2da: baseline fit 0, relation fit 0, new oracle false
44f52bb0: baseline fit 0, relation fit 0, new oracle false
f8b3ba0a: baseline fit 0, relation fit 0, new oracle false
25d8a9c8: baseline fit 2, relation fit 0, new oracle false
aedd82e4: baseline fit 2, relation fit 0, new oracle false
ea32f347: baseline fit 0, relation fit 0, new oracle false
b7249182: baseline fit 0, relation fit 0, new oracle false
de1cd16c: baseline fit 0, relation fit 0, new oracle false
fafffa47: baseline fit 34, relation fit 0, new oracle false
8d510a79: baseline fit 0, relation fit 0, new oracle false
10fcaaa3: baseline fit 0, relation fit 0, new oracle false
bb43febb: baseline fit 0, relation fit 0, new oracle false
5168d44c: baseline fit 0, relation fit 0, new oracle false
2dc579da: baseline fit 0, relation fit 0, new oracle false
ef135b50: baseline fit 0, relation fit 0, new oracle false
178fcbfb: baseline fit 0, relation fit 0, new oracle false
c9f8e694: baseline fit 0, relation fit 0, new oracle false
1b60fb0c: baseline fit 0, relation fit 0, new oracle false
be94b721: baseline fit 121, relation fit 0, new oracle false
9dfd6313: baseline fit 25, relation fit 0, new oracle false
3345333e: baseline fit 0, relation fit 0, new oracle false
b548a754: baseline fit 0, relation fit 0, new oracle false
0520fde7: baseline fit 36, relation fit 0, new oracle false
c1d99e64: baseline fit 0, relation fit 0, new oracle false
ac0a08a4: baseline fit 0, relation fit 0, new oracle false
06df4c85: baseline fit 0, relation fit 0, new oracle false
bd4472b8: baseline fit 0, relation fit 0, new oracle false
8f2ea7aa: baseline fit 0, relation fit 0, new oracle false
6cdd2623: baseline fit 0, relation fit 0, new oracle false
794b24be: baseline fit 0, relation fit 0, new oracle false
0d3d703e: baseline fit 0, relation fit 0, new oracle false
9565186b: baseline fit 28, relation fit 0, new oracle false
d2abd087: baseline fit 0, relation fit 0, new oracle false
2bcee788: baseline fit 0, relation fit 0, new oracle false
63613498: baseline fit 0, relation fit 0, new oracle false
b27ca6d3: baseline fit 0, relation fit 0, new oracle false
cdecee7f: baseline fit 0, relation fit 0, new oracle false
f9012d9b: baseline fit 0, relation fit 0, new oracle false
228f6490: baseline fit 0, relation fit 0, new oracle false
846bdb03: baseline fit 0, relation fit 0, new oracle false
f25fbde4: baseline fit 2, relation fit 0, new oracle false
f8c80d96: baseline fit 0, relation fit 0, new oracle false
b1948b0a: baseline fit 44, relation fit 0, new oracle false
6fa7a44f: baseline fit 66, relation fit 0, new oracle false
834ec97d: baseline fit 0, relation fit 0, new oracle false
99fa7670: baseline fit 0, relation fit 0, new oracle false
b9b7f026: baseline fit 0, relation fit 0, new oracle false
6855a6e4: baseline fit 0, relation fit 0, new oracle false
007bbfb7: baseline fit 0, relation fit 0, new oracle false
91714a58: baseline fit 0, relation fit 0, new oracle false
a61f2674: baseline fit 0, relation fit 0, new oracle false
72322fa7: baseline fit 0, relation fit 0, new oracle false
890034e9: baseline fit 0, relation fit 0, new oracle false
469497ad: baseline fit 0, relation fit 0, new oracle false
8403a5d5: baseline fit 0, relation fit 0, new oracle false
e50d258f: baseline fit 0, relation fit 0, new oracle false
ed36ccf7: baseline fit 25, relation fit 0, new oracle false
9ecd008a: baseline fit 0, relation fit 0, new oracle false
67a423a3: baseline fit 0, relation fit 0, new oracle false
e76a88a6: baseline fit 0, relation fit 0, new oracle false
09629e4f: baseline fit 0, relation fit 0, new oracle false
f35d900a: baseline fit 0, relation fit 0, new oracle false
22168020: baseline fit 0, relation fit 0, new oracle false
3bdb4ada: baseline fit 0, relation fit 0, new oracle false
4258a5f9: baseline fit 11, relation fit 0, new oracle false
e98196ab: baseline fit 0, relation fit 0, new oracle false
025d127b: baseline fit 0, relation fit 0, new oracle false
5582e5ca: baseline fit 103, relation fit 0, new oracle false
d4469b4b: baseline fit 0, relation fit 0, new oracle false
ce602527: baseline fit 0, relation fit 0, new oracle false
b91ae062: baseline fit 0, relation fit 0, new oracle false
d037b0a7: baseline fit 0, relation fit 0, new oracle false
c9e6f938: baseline fit 12, relation fit 0, new oracle false
ded97339: baseline fit 0, relation fit 0, new oracle false
c3e719e8: baseline fit 0, relation fit 0, new oracle false
f15e1fac: baseline fit 0, relation fit 0, new oracle false
6b9890af: baseline fit 0, relation fit 0, new oracle false
dc433765: baseline fit 0, relation fit 0, new oracle false
8e5a5113: baseline fit 0, relation fit 0, new oracle false
7837ac64: baseline fit 0, relation fit 0, new oracle false
1caeab9d: baseline fit 0, relation fit 0, new oracle false
6ecd11f4: baseline fit 0, relation fit 0, new oracle false
d13f3404: baseline fit 0, relation fit 0, new oracle false
3618c87e: baseline fit 0, relation fit 0, new oracle false
1e0a9b12: baseline fit 45, relation fit 0, new oracle false
8eb1be9a: baseline fit 0, relation fit 0, new oracle false
d06dbe63: baseline fit 0, relation fit 0, new oracle false
447fd412: baseline fit 0, relation fit 0, new oracle false
5521c0d9: baseline fit 0, relation fit 0, new oracle false
d10ecb37: baseline fit 0, relation fit 0, new oracle false
3906de3d: baseline fit 0, relation fit 0, new oracle false
fcc82909: baseline fit 0, relation fit 0, new oracle false
e9afcf9a: baseline fit 0, relation fit 0, new oracle false
a5f85a15: baseline fit 0, relation fit 0, new oracle false
ecdecbb3: baseline fit 0, relation fit 0, new oracle false
f2829549: baseline fit 50, relation fit 0, new oracle false
eb5a1d5d: baseline fit 2, relation fit 0, new oracle false
f1cefba8: baseline fit 0, relation fit 0, new oracle false
8be77c9e: baseline fit 10, relation fit 0, new oracle false
239be575: baseline fit 0, relation fit 0, new oracle false
ae3edfdc: baseline fit 0, relation fit 0, new oracle false
97999447: baseline fit 0, relation fit 0, new oracle false
445eab21: baseline fit 0, relation fit 0, new oracle false
56ff96f3: baseline fit 0, relation fit 0, new oracle false
4938f0c2: baseline fit 0, relation fit 0, new oracle false
e5062a87: baseline fit 0, relation fit 0, new oracle false
321b1fc6: baseline fit 0, relation fit 0, new oracle false
50cb2852: baseline fit 0, relation fit 0, new oracle false
00d62c1b: baseline fit 8, relation fit 0, new oracle false
0962bcdd: baseline fit 0, relation fit 0, new oracle false
9aec4887: baseline fit 0, relation fit 0, new oracle false
56dc2b01: baseline fit 0, relation fit 0, new oracle false
543a7ed5: baseline fit 0, relation fit 0, new oracle false
3eda0437: baseline fit 0, relation fit 0, new oracle false
49d1d64f: baseline fit 0, relation fit 0, new oracle false
f76d97a5: baseline fit 0, relation fit 0, new oracle false
776ffc46: baseline fit 0, relation fit 0, new oracle false
5614dbcf: baseline fit 0, relation fit 0, new oracle false
a2fd1cf0: baseline fit 0, relation fit 0, new oracle false
aabf363d: baseline fit 0, relation fit 0, new oracle false
bda2d7a6: baseline fit 0, relation fit 0, new oracle false
e179c5f4: baseline fit 0, relation fit 0, new oracle false
29ec7d0e: baseline fit 0, relation fit 0, new oracle false
a9f96cdd: baseline fit 0, relation fit 0, new oracle false
db93a21d: baseline fit 0, relation fit 0, new oracle false
4612dd53: baseline fit 0, relation fit 0, new oracle false
d511f180: baseline fit 0, relation fit 0, new oracle false
963e52fc: baseline fit 0, relation fit 0, new oracle false
05f2a901: baseline fit 0, relation fit 0, new oracle false
264363fd: baseline fit 0, relation fit 0, new oracle false
a61ba2ce: baseline fit 0, relation fit 0, new oracle false
74dd1130: baseline fit 107, relation fit 0, new oracle false
6aa20dc0: baseline fit 0, relation fit 0, new oracle false
bdad9b1f: baseline fit 0, relation fit 0, new oracle false
c909285e: baseline fit 0, relation fit 0, new oracle false
a740d043: baseline fit 2, relation fit 0, new oracle false
e21d9049: baseline fit 0, relation fit 0, new oracle false
75b8110e: baseline fit 0, relation fit 0, new oracle false
137eaa0f: baseline fit 0, relation fit 0, new oracle false
3bd67248: baseline fit 0, relation fit 0, new oracle false
bc1d5164: baseline fit 0, relation fit 0, new oracle false
760b3cac: baseline fit 0, relation fit 0, new oracle false
23581191: baseline fit 0, relation fit 0, new oracle false
d4f3cd78: baseline fit 0, relation fit 0, new oracle false
1b2d62fb: baseline fit 34, relation fit 0, new oracle false
9af7a82c: baseline fit 0, relation fit 0, new oracle false
8a004b2b: baseline fit 0, relation fit 0, new oracle false
b527c5c6: baseline fit 0, relation fit 0, new oracle false
7c008303: baseline fit 0, relation fit 0, new oracle false
9d9215db: baseline fit 0, relation fit 0, new oracle false
feca6190: baseline fit 0, relation fit 0, new oracle false
e509e548: baseline fit 0, relation fit 0, new oracle false
913fb3ed: baseline fit 0, relation fit 0, new oracle false
1f85a75f: baseline fit 70, relation fit 0, new oracle false
6c434453: baseline fit 0, relation fit 0, new oracle false
90c28cc7: baseline fit 0, relation fit 0, new oracle false
dc0a314f: baseline fit 0, relation fit 0, new oracle false
6773b310: baseline fit 0, relation fit 0, new oracle false
ddf7fa4f: baseline fit 0, relation fit 0, new oracle false
6a1e5592: baseline fit 0, relation fit 0, new oracle false
54d9e175: baseline fit 0, relation fit 0, new oracle false
ec883f72: baseline fit 0, relation fit 0, new oracle false
6d0160f0: baseline fit 0, relation fit 0, new oracle false
1f0c79e5: baseline fit 0, relation fit 0, new oracle false
8731374e: baseline fit 0, relation fit 0, new oracle false
7e0986d6: baseline fit 0, relation fit 0, new oracle false
c3f564a4: baseline fit 0, relation fit 0, new oracle false
80af3007: baseline fit 0, relation fit 0, new oracle false
d89b689b: baseline fit 0, relation fit 0, new oracle false
4522001f: baseline fit 0, relation fit 0, new oracle false
746b3537: baseline fit 2, relation fit 0, new oracle false
a8c38be5: baseline fit 0, relation fit 0, new oracle false
40853293: baseline fit 0, relation fit 0, new oracle false
0b148d64: baseline fit 0, relation fit 0, new oracle false
5117e062: baseline fit 0, relation fit 0, new oracle false
e6721834: baseline fit 0, relation fit 0, new oracle false
681b3aeb: baseline fit 0, relation fit 0, new oracle false
29c11459: baseline fit 0, relation fit 0, new oracle false
93b581b8: baseline fit 0, relation fit 0, new oracle false
c59eb873: baseline fit 71, relation fit 0, new oracle false
11852cab: baseline fit 0, relation fit 0, new oracle false
9f236235: baseline fit 0, relation fit 0, new oracle false
db3e9e38: baseline fit 0, relation fit 0, new oracle false
6455b5f5: baseline fit 0, relation fit 0, new oracle false
f25ffba3: baseline fit 56, relation fit 0, new oracle false
23b5c85d: baseline fit 28, relation fit 0, new oracle false
47c1f68c: baseline fit 0, relation fit 0, new oracle false
d8c310e9: baseline fit 0, relation fit 0, new oracle false
234bbc79: baseline fit 0, relation fit 0, new oracle false
a699fb00: baseline fit 0, relation fit 0, new oracle false
673ef223: baseline fit 0, relation fit 0, new oracle false
cf98881b: baseline fit 0, relation fit 0, new oracle false
68b16354: baseline fit 60, relation fit 0, new oracle false
d0f5fe59: baseline fit 0, relation fit 0, new oracle false
ae4f1146: baseline fit 0, relation fit 0, new oracle false
539a4f51: baseline fit 0, relation fit 0, new oracle false
73251a56: baseline fit 0, relation fit 0, new oracle false
d22278a0: baseline fit 0, relation fit 0, new oracle false
28e73c20: baseline fit 0, relation fit 0, new oracle false
36d67576: baseline fit 0, relation fit 0, new oracle false
62c24649: baseline fit 19, relation fit 0, new oracle false
2dee498d: baseline fit 0, relation fit 0, new oracle false
363442ee: baseline fit 0, relation fit 0, new oracle false
22233c11: baseline fit 0, relation fit 0, new oracle false
05269061: baseline fit 0, relation fit 0, new oracle false
dc1df850: baseline fit 0, relation fit 0, new oracle false
e48d4e1a: baseline fit 0, relation fit 0, new oracle false
3e980e27: baseline fit 0, relation fit 0, new oracle false
a5313dff: baseline fit 8, relation fit 0, new oracle false
83302e8f: baseline fit 0, relation fit 0, new oracle false
4290ef0e: baseline fit 0, relation fit 0, new oracle false
c8f0f002: baseline fit 55, relation fit 0, new oracle false
7ddcd7ec: baseline fit 0, relation fit 0, new oracle false
67a3c6ac: baseline fit 48, relation fit 0, new oracle false
46f33fce: baseline fit 0, relation fit 0, new oracle false
ce4f8723: baseline fit 49, relation fit 0, new oracle false
25d487eb: baseline fit 0, relation fit 0, new oracle false
508bd3b6: baseline fit 0, relation fit 0, new oracle false
694f12f3: baseline fit 0, relation fit 0, new oracle false
e9614598: baseline fit 0, relation fit 0, new oracle false
9edfc990: baseline fit 0, relation fit 0, new oracle false
1bfc4729: baseline fit 0, relation fit 0, new oracle false
1f876c06: baseline fit 0, relation fit 0, new oracle false
e26a3af2: baseline fit 0, relation fit 0, new oracle false
ba97ae07: baseline fit 0, relation fit 0, new oracle false
7b6016b9: baseline fit 1, relation fit 0, new oracle false
3631a71a: baseline fit 0, relation fit 0, new oracle false
b775ac94: baseline fit 0, relation fit 0, new oracle false
6d58a25d: baseline fit 0, relation fit 0, new oracle false
484b58aa: baseline fit 0, relation fit 0, new oracle false
        2.54 real        22.81 user         0.20 sys
            20807680  maximum resident set size
                   0  average shared memory size
                   0  average unshared data size
                   0  average unshared stack size
                1596  page reclaims
                   0  page faults
                   0  swaps
                   0  block input operations
                   0  block output operations
                   0  messages sent
                   0  messages received
                   0  signals received
                   0  voluntary context switches
               21748  involuntary context switches
        366840929384  instructions retired
         69636460552  cycles elapsed
            20070808  peak memory footprint
